jd_night,sindex
2446543.5,0.1705
2446543.5,0.1685
2446544.5,0.1683
2446547.5,0.1693
2446550.5,0.1664
2446551.5,0.1674
2446553.5,0.1678
2446555.5,0.1659
2446556.5,0.1649
2446557.5,0.1681
2446557.5,0.1662
2446558.5,0.1672
2446558.5,0.1667
2446559.5,0.1683
2446559.5,0.166
2446560.5,0.1677
2446561.5,0.1637
2446564.5,0.1669
2446565.5,0.1665
2446585.5,0.1643
2446586.5,0.1664
2446588.5,0.1675
2446590.5,0.166
2446591.5,0.1667
2446592.5,0.1683
2446592.5,0.1669
2446593.5,0.169
2446595.5,0.169
2446595.5,0.1676
2446596.5,0.1686
2446601.5,0.1668
2446602.5,0.1672
2446621.5,0.1696
2446623.5,0.1675
2446624.5,0.1696
2446630.5,0.1705
2446634.5,0.1704
2446635.5,0.1676
2446641.5,0.1727
2446642.5,0.17
2446643.5,0.1719
2446644.5,0.1649
2446655.5,0.1666
2446656.5,0.167
2446658.5,0.1688
2446659.5,0.1699
2446660.5,0.1675
2446660.5,0.1699
2446661.5,0.1701
2446662.5,0.1633
2446663.5,0.1661
2446664.5,0.1674
2446678.5,0.1674
2446679.5,0.1677
2446680.5,0.1656
2446682.5,0.1683
2446684.5,0.1681
2446684.5,0.1631
2446685.5,0.1655
2446692.5,0.1654
2446693.5,0.167
2446694.5,0.1665
2446697.5,0.1668
2446698.5,0.1683
2446699.5,0.1639
2446716.5,0.1649
2446718.5,0.1625
2446723.5,0.1702
2446723.5,0.1724
2446724.5,0.1716
2446724.5,0.1737
2446725.5,0.1745
2446726.5,0.1728
2446728.5,0.1745
2446729.5,0.1731
2446730.5,0.172
2446731.5,0.1709
2446733.5,0.1718
2446734.5,0.1693
2446739.5,0.1693
2446742.5,0.1644
2446744.5,0.1679
2446745.5,0.1679
2446747.5,0.1688
2446753.5,0.167
2446754.5,0.1697
2446756.5,0.1733
2446758.5,0.1718
2446759.5,0.1704
2446761.5,0.1685
2446762.5,0.1724
2446763.5,0.1703
2446764.5,0.1662
2446765.5,0.1679
2446766.5,0.1673
2446767.5,0.1675
2446768.5,0.1643
2446775.5,0.1691
2446776.5,0.1663
2446777.5,0.1677
2446778.5,0.1684
2446783.5,0.169
2446783.5,0.1652
2446787.5,0.1686
2446791.5,0.1693
